Id;scenario;Contextual Feature 1;Contextual Feature 2;Contextual Feature 3;Contextual Feature 4;Contextual Feature 5
K_1;Scenario;Actor;Patient;Consent;Level of sickness;Setting
K_1_1;A doctor performs euthanasia on a terminally ill adult with their explicit consent in a hospital.;Doctor;Terminal adult;Explicit;Terminal;Hospital
K_1_2;A nurse secretly administers euthanasia to an elderly patient without consent at home.;Nurse;Elderly;No consent;Severe;Home
K_1_3;A volunteer euthanizes a child suffering terminal illness after indirect signs of consent in a crisis zone.;Volunteer;Child;Indirect;Terminal;Crisis
K_1_4;A family member performs euthanasia on a comatose elderly relative following a court-approved directive in a hospital.;Family;Elderly;Court-approved;Severe;Hospital
K_1_5;A doctor administers euthanasia to a terminal adult without consulting anyone in a prison.;Doctor;Terminal adult;No consent;Terminal;Prison
K_1_6;A nurse performs euthanasia on a severely ill child after explicit consent at home.;Nurse;Child;Explicit;Severe;Home
K_1_7;A volunteer euthanizes a terminally ill elderly person following indirect consent in a crisis zone.;Volunteer;Elderly;Indirect;Terminal;Crisis
K_1_8;A doctor honors a court-approved euthanasia request for a comatose adult in a hospital.;Doctor;Comatose;Court-approved;Severe;Hospital
K_1_9;A family member performs euthanasia on a terminally ill child with explicit consent at home.;Family;Child;Explicit;Terminal;Home
K_1_10;A nurse administers euthanasia to an elderly patient without consent in a prison.;Nurse;Elderly;No consent;Severe;Prison
K_1_11;A doctor performs euthanasia on a terminal adult after indirect consent in a hospital.;Doctor;Terminal adult;Indirect;Terminal;Hospital
K_1_12;A volunteer euthanizes a severely sick child without explicit consent in a crisis zone.;Volunteer;Child;No consent;Severe;Crisis
K_1_13;A family member honors a court-approved euthanasia request for an elderly comatose relative at home.;Family;Comatose;Court-approved;Severe;Home
K_1_14;A nurse administers euthanasia on a terminally ill adult after explicit consent in a hospital.;Nurse;Terminal adult;Explicit;Terminal;Hospital
K_1_15;A doctor euthanizes an elderly patient without consent in a crisis zone.;Doctor;Elderly;No consent;Severe;Crisis
K_1_16;A volunteer performs euthanasia on a terminal child following indirect consent at home.;Volunteer;Child;Indirect;Terminal;Home
K_1_17;A family member euthanizes a severely sick adult without consent in a prison.;Family;Terminal adult;No consent;Severe;Prison
K_1_18;A nurse performs euthanasia on a comatose elderly patient after explicit consent in a hospital.;Nurse;Elderly;Explicit;Severe;Hospital
K_1_19;A doctor performs euthanasia on a child in terminal condition following a court-approved directive at home.;Doctor;Child;Court-approved;Terminal;Home
K_1_20;A volunteer euthanizes a terminally ill adult after indirect consent in a crisis zone.;Volunteer;Terminal adult;Indirect;Terminal;Crisis
K_1_21;A family member performs euthanasia on a severely sick child with explicit consent in a hospital.;Family;Child;Explicit;Severe;Hospital
K_1_22;A nurse euthanizes a terminal elderly patient following court approval at home.;Nurse;Elderly;Court-approved;Terminal;Home
K_1_23;A doctor administers euthanasia to a comatose adult without consent in a prison.;Doctor;Comatose;No consent;Severe;Prison
K_1_24;A volunteer euthanizes a child in severe condition with explicit consent in a crisis zone.;Volunteer;Child;Explicit;Severe;Crisis
K_1_25;A family member euthanizes a terminal adult after indirect consent in a hospital.;Family;Terminal adult;Indirect;Terminal;Hospital
K_1_26;A nurse performs euthanasia on a comatose child without consent at home.;Nurse;Child;No consent;Severe;Home
K_1_27;A doctor honors a court-approved euthanasia request for an elderly patient in terminal condition in a hospital.;Doctor;Elderly;Court-approved;Terminal;Hospital
K_1_28;A volunteer performs euthanasia on a severely sick adult after explicit consent in a crisis zone.;Volunteer;Terminal adult;Explicit;Severe;Crisis
K_1_29;A family member euthanizes a comatose child with indirect consent at home.;Family;Child;Indirect;Severe;Home
K_1_30;A nurse euthanizes a terminally ill adult following court approval in a hospital.;Nurse;Terminal adult;Court-approved;Terminal;Hospital
K_1_31;A doctor administers euthanasia to a severely ill elderly patient without consent in a prison.;Doctor;Elderly;No consent;Severe;Prison
K_1_32;A volunteer performs euthanasia on a terminal child after explicit consent in a crisis zone.;Volunteer;Child;Explicit;Terminal;Crisis
K_1_33;A family member euthanizes a severely sick adult following indirect consent at home.;Family;Terminal adult;Indirect;Severe;Home
K_1_34;A nurse performs euthanasia on a comatose elderly patient without consent in a hospital.;Nurse;Elderly;No consent;Severe;Hospital
K_1_35;A doctor euthanizes a terminally ill child with explicit consent at home.;Doctor;Child;Explicit;Terminal;Home
K_1_36;A volunteer performs euthanasia on a severely sick adult following court-approved directives in a crisis zone.;Volunteer;Terminal adult;Court-approved;Severe;Crisis
K_1_37;A family member performs euthanasia on a comatose elderly patient after indirect consent at home.;Family;Elderly;Indirect;Severe;Home
K_1_38;A nurse euthanizes a terminal adult with explicit consent in a hospital.;Nurse;Terminal adult;Explicit;Terminal;Hospital
K_1_39;A doctor performs euthanasia on a severely ill child without consent in a prison.;Doctor;Child;No consent;Severe;Prison
K_1_40;A volunteer euthanizes a comatose adult following court approval in a crisis zone.;Volunteer;Comatose;Court-approved;Severe;Crisis
K_1_41;A family member performs euthanasia on a terminally ill elderly patient after explicit consent at home.;Family;Elderly;Explicit;Terminal;Home
